"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,621199
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,663432
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,502026
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,592644
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,650644
2019,1,0,2,0,0,0,0,2,3,0,0.333,0,0.333,0.23,621097
2019,0,0,3,0,0,0,0,9,9,0,0,0,0,0,593958
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,641755
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,543135
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,598271
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,670329
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,593372
